name,city,state,identifier,rating,address,latitude,longitude,material,designer,builder,opened,hours,size,notes,info,helmet,lights,photo_cred,photo_url,video_url,num_pics,obstacles
harada skatepark,corona (eastvale),california,corona2,3,"6757 Scholar Way, Corona, CA 92880",33.9665665,-117.5671012,concrete,community works,california skateparks,,,10000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/results.php?keyword=harada,,6,
orchard skatepark,corona (eastvale),california,corona3,2,"5831 Sumner Ave, Corona, CA 92880",33.9823256,-117.5758284,concrete,community works,california skateparks,,,13000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/eastvale-orchard-park-skatepark-riverside-county-skateparks.html,,4,
james huber skatepark,corona (eastvale),california,corona5,3,"6411 Rolling Meadow, St Corona, CA 92880",33.971583,-117.590826,concrete,community works design group (bill wildenberg & scott rice),california skateparks,2005,,20000,also eastvale/jurupa,,,,socalskateparks.com,http://www.socalskateparks.com/listing/eastvale-huber-skatepark-riverside-county-skateparks.html,,4,"ledges, rails, pyramid, quarterpipes, bowl, metal coping"
,coronado,california,coronado,3,"2000 Mullinex Dr, Coronado, CA 92118",32.6921518,-117.1664562,concrete,site design,california skateparks,2001,,20000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/coronado-skatepark-san-diego-skateparks.html,,4,
,corte madera,california,corte madera,1,"7 Pixley Ave, Corte Madera, CA 94925",37.9262987,-122.5269173,prefabricated ramps,,,,,,,,,,,,,2,
volcom skatepark,costa mesa,california,costa mesa,4,"850 Arlington Dr, Costa Mesa, CA 92626",33.6690603,-117.8935312,concrete,california skateparks,california skateparks,2005,"9am - 9pm, opens 3pm on Tuesdays",20000,,,,yes,northwestskater.com,http://www.northwestskater.com/costamesa.html,,4,
,crescent city,california,crescent city,2,"5Th St & E St, Crescent City, CA 95531",41.7521226,-124.2017944,prefabricated ramps,,,,,,,,,,,,,2,
,cudahy,california,cudahy,1,"5240 Santa Ana St, Cudahy, CA 90201",33.9596499,-118.174563,prefabricated ramps,,,,,,,,,,,,,2,
,culver city,california,culver city,4,"9910 Jefferson Blvd, Culver City, CA 90232",34.0151036,-118.3877277,concrete,site design,california skateparks,,"monday - friday: 12pm - Dusk, saturday & sunday: 9:30am - 4:30pm ",15000,,A helmet/pads are required to skate this park.,,,northwestskater.com,http://www.northwestskater.com/culvercity.html,,4,
cypress skate plaza,cypress,california,cypress,2,"4554 Avenida, Granada Cypress, CA 90630",33.8182831,-118.0536681,concrete,purkiss rose,,2003,8am - Dusk,12000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/cypress-skate-plaza.html,,4,
,daly city,california,daly city,2,"Sullivan Ave & 92nd, St Daly City, CA 94015",37.6897112,-122.4722506,prefabricated ramps,,,,,,,,,,,,,4,
,davis,california,davis,1,"1405 F St Davis, CA 95616",38.5569238,-121.743349,concrete,,,1993,,,,,,,,,,4,
,delano,california,delano,3,"Cecil Ave & Madison St, Delano, CA 93215",35.7759206,-119.2420169,concrete,site design,,,Dawn - Dusk,23342,,,,,,,,4,
,delhi,california,delhi,1,"Shanks Rd & Schendel Ave, Delhi, CA 95315",37.4268051,-120.7861339,prefabricated ramps,,,2006,,,,,,,,,,0,
,desert hot springs,california,desert hot springs,3,"West Dr & 1st St, Desert Hot Springs, CA 92240",33.9623716,-116.510128,concrete,lawrence r moss & associates,,2003,Dawn - Dusk,10000,,,,,northwestskater.com,http://www.northwestskater.com/deserthotsprings.html,,4,
,diamond bar,california,diamond bar,3,"24142 Sylvan Glen Rd, Diamond Bar, CA 91765",34.0292244,-117.7946067,concrete,purkiss rose,,,7am - Dusk,10000,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/results.php?keyword=diamond+bar,,4,
,dixon,california,dixon,3,"Hall Park Dr & E Chestnut, St Dixon, CA 95620",38.44178,-121.8187935,concrete,,,,,,,,,,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/northern-california/20812-dixon-skatepark-dixon-california-usa,,4,
independence park,downey,california,downey,2,"12334 Bellflower Blvd, Downey, CA 90242",33.919509,-118.121334,concrete,purkiss rose,,2002,,10000,,A helmet/pads are required to skate here.,,,,,,3,
pamela park,duarte,california,duarte,1,"2236 Goodall Ave, Duarte, CA 91010",34.1233827,-117.9938893,prefabricated ramps,,,,,,,,,,,,,0,
,duarte,california,duarte2,3,"1401 Central Ave, Duarte, CA 91010",34.1360058,-117.9755981,concrete,lawrence r moss & associates,california skateparks,,Dawn - Dusk,10000,,,,,northwestskater.com,http://www.northwestskater.com/duarte.html,,4,
emerald glen skatepark,dublin,california,dublin,2,"4201 Central Pkwy, Dublin, CA 94568",37.7105105,-121.8784509,concrete,,,,Dawn - Dusk,,,,,,,,,3,
arnold park,edwards air force base,california,edwards air force base,,,0,0,concrete,,,,,,verify,,,,,,,,
kennedy skatepark,el cajon,california,el cajon,3,"1675 E Madison Ave, El Cajon, CA 92019",32.7999147,-116.9195447,concrete,purkiss rose,,2002,"Mon-Fri: 4-9, Sat: 12-9, Sun: 12-7",11000,,This skatepark costs money to skate and requires a helmet/pads,,,socalskateparks.com,http://www.socalskateparks.com/listing/el-cajon-skatepark-san-diego-skateparks.html,,4,
renette skate plaza,el cajon,california,el cajon2,2,"935 Emerald Ave, El Cajon, CA 92020",32.7833394,-116.9686023,concrete,,,,,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/el-cajon-renette-street-plaza-san-diego-skateparks.html,,4,
sidewinder skatepark,el centro,california,el centro,3,"N 6th St & Park Ave, El Centro, CA 92243",32.795886,-115.5569299,concrete,california skateparks,,2015,,30000,,,,,,,,4,
,el dorado hills,california,el dorado hills,1,"1021 Harvard Way, El Dorado Hills, CA 95762",38.6826809,-121.074868,prefabricated ramps,,,,,,,This skatepark costs money to skate and requires a helmet/pads,,yes,,,,1,
,el segundo,california,el segundo,2,"405 E Grand Ave, El Segundo, CA 90245",33.919783,-118.4120501,concrete,,,,,,,This skatepark has designated session times depending on whether you are over 18 years of age,,yes,socalskateparks.com,http://www.socalskateparks.com/listing/results.php?keyword=el+segundo,,4,
derr-okamota park,elk grove,california,elk grove,3,"9550 Mainline Dr, Elk Grove, CA 95624",38.4027045,-121.3390596,concrete,site design,,,,13300,,,,,,,,4,
wackford community center,elk grove,california,elk grove2,3,"9014 Bruceville Rd, Elk Grove, CA 95758",38.4296888,-121.4189832,concrete,wormhoudt inc.,wormhoudt inc.,2004,8am - Dusk,11000,,,,,Concrete Disples,http://www.concretedisciples.com/index.php/skatepark/usa/northern-california/19564-elk-grove-skate-park-elk-grove-california-usa,,4,
shasta community park,elk grove,california,elk grove3,2,"7407 Shasta Ave, Elk Grove, CA 95758",38.4505733,-121.4165921,prefabricated ramps,,,,,,,,,,,,,1,
morse park,elk grove,california,elk grove4,2,"5540 Bellaterra Dr, Elk Grove, CA 95757",38.397838,-121.435152,concrete,,,,,,,,,,,,,1,
