skatepark_id,city,state,address,latitude,longitude
257,napa,california,"2399 Streblow Dr, Napa, CA 94558",38.261905,-122.284382
258,needles,california,"1183 Filip Mendez Pkwy, Needles, CA 92363",34.836561,-114.613714
259,norwalk,california,"12200 Sproul St, Norwalk, CA 90650",33.908761,-118.071131
260,novato,california,"1200 N Hamilton Pkwy, Novato, CA 94949",38.061429,-122.528353
261,oakhurst,california,"49547 High School Rd, Oakhurst, CA 93644",37.331176,-119.645211
262,oakland,california,"1822 9th St, Oakland, CA 94607",37.810842,-122.303313
263,oakland,california,"1269 18th St, Oakland, CA 94607",37.812776,-122.287484
264,oakland,california,"8751 Macarthur Blvd Oakland, CA 94605",37.757472,-122.162279
265,oceanside,california,"Alex Rd & Foussat Rd, Oceanside, CA 92058",33.221691,-117.345065
266,oceanside,california,"5336 Leon St, Oceanside, CA 92057",33.257319,-117.290431
267,oceanside,california,"4125 Lewis St, Oceanside, CA 92056",33.195456,-117.286183
268,oceanside,california,"504 Calle Montecito, Oceanside, CA 92057",33.249946,-117.309348
269,oceanside,california,"4300 Mesa Dr Oceanside, CA 92057",33.216797,-117.304472
270,ojai,california,"508 E Ojai Ave, Ojai, CA 93023",34.448503,-119.241264
271,orange,california,"20 City Blvd W, Orange, CA 92861",33.784163,-117.892066
272,orange cove,california,"25899 Parlier Ave, Orange Cove, CA 93646",36.610793,-119.32347
273,oroville,california,"1100 Feather River Blvd, Oroville, CA 95965",39.511092,-121.56887
274,oxnard,california,"3311 S Rose Ave, Oxnard, CA 93033",34.169176,-119.159535
275,pacifica,california,"540 Crespi Dr, Pacifica, CA 94044",37.59826,-122.500192
276,pacifica,california,"5440 Pacific Coast Hwy, Pacifica, CA 94044",37.595276,-122.506521
277,pacoima,california,"10760 Laurel Canyon Blvd, Pacoima, CA 91331",34.266877,-118.438342
278,pala,california,"12196 Pala Mission Rd, Pala, CA 92059",33.365386,-117.070862
279,palm desert,california,"43930 San Pablo Ave, Palm Desert, CA 92260",33.732026,-116.382133
280,palm springs,california,"499 S Pavilion Way, Palm Springs, CA 92262","33.816369, ",-116.524004
281,palmdale,california,"37716 55th St, Palmdale, CA 93552",34.570195,-118.03056
282,palmdale,california,"39700 30th St W, Palmdale, CA 93551",34.602644,-118.182532
283,palo alto,california,"2860 W Bayshore Rd, Palo Alto, CA 94303",37.44083,-122.116468
284,paramount,california,"7700 Somerset Ave, Paramount, CA 90723",33.896093,-118.164963
285,pasadena,california,"1400 N Fair Oaks Ave, Pasadena, CA 91101",34.169945,-118.150052
286,patterson,california,"1033 W Las Palmas Ave, Patterson, CA 95363",37.466946,-121.14151
287,perris,california,"333 Placentia Ave, Perris, CA 92571",33.822545,-117.220526
288,petaluma,california,"900 E Washington St, Petaluma, CA 94952",38.243603,-122.629552
