name,city,state,identifier,rating,address,material,designer,builder,opened,hours,size,notes,beta,helmet,lights,photo_cred,video_url,num_pics,obstacles
,la habra,california,la habra,3,1208 fahringer way la habra ca 90631,concrete,,,,"Mon - Fri: 3pm - 8pm, Saturday - Sunday: 12pm - 8pm, Holidays: Closed",,,,,,,,,
,la mesa,california,la mesa,2,8881 dallas st la mesa ca 91942,concrete,,,,Dawn - Dusk,,,,,,,,,
4th ave skatepark,la puente,california,la puente,,553 4th ave la puente ca 91746,concrete,charles h strawter design inc ,geocon engineering,2012,,11000,,,,,,,,
,la quinta,california,la quinta,,78468 westward ho dr la quinta ca 92253,concrete,,,,,,,,,,,,,
,la quinta,california,la quinta2,1,francis hack ln & avenida bermudas la quinta ca 92253,prefabricated ramps,,,,,,,,,,,,,
,la verne,california,la verne,,3104 d st la verne ca 91750,concrete,california skateparks,california skateparks,1998,,12550,,,,,,,,
teramore skatepark,ladera ranch,california,ladera ranch,3,26283 sienna pkwy ladera ranch ca 92694,concrete,wally hollyday,wally hollyday,2005,,14000,,,,,,,,"bowl, rail, quarterpipes, stairs, ledges, metal cpoing"
,laguna hills,california,laguna hills,3,25401 paseo de valencia laguna hills ca 92653,concrete,,,,8am - 10pm,,,,,,,,,
,laguna niguel,california,laguna niguel,,27745 alicia pkwy laguna niguel ca 92677,concrete,california skateparks,california skateparks,,,24000,,,,,,,,
mcvicker canyon skate park,lake elsinor,california,lake elsinor,2,"mcvicker canyon park rd & Grand Ave, Lake Elsinore, CA 92530",prefabricated ramps,,,,,,,"This skatepark costs money to skate, requires a helmet/pads, and has designated bike sessions.",,,,,,
skate zone at serenity park,lake elsinor,california,lake elsinor2,3,palomar st & silverwood dr lake elsinore ca 92530,concrete,spohn ranch,spohn ranch,2015,6:30am- Dusk,,,,,,,,,
etnies skatepark,lake forest,california,lake forest,,20028 lake forest drive lake forest ca 92630,concrete,site design,california skateparks,December 2003 (expansion August 2011),mon - thurs 11am-9pm friday 11am-10pm sat 10am-10pm sun 10am-9pm,,,This skatepark requires a helmet/pads,,,,,,
hansen dam skatepark,lake view terrace,california,lake view terrace,3,dronfield ave & osborne st lake view terrace ca 91331,concrete,wormhoudt,spohn ranch,2012,,9000,los angeles,,,,,,,
lindo lake skatepark,lakeside,california,lakeside,3,woodside ave & chestnut st lakeside ca 92040,concrete,action sports design (Stantec),,2014,,,,,,,,,,
,lathrop,california,lathrop,3,450 spartan way lathrop ca 95330,concrete,wormhoudt,california skateparks,2014,,16000,,,,,,,,
,lathrop,california,lathrop2,2,7th st & l st lathrop ca 95330,concrete,SITE design,spohn ranch, ,9am-Dusk,7440,,,,,,,,
,lemoore,california,lemoore,2,fox st & e st lemoore ca 93245,concrete,,,,,,,,,,,,,
mcbean memorial park,lincoln,california,lincoln,1,2nd st & d st lincoln ca 95648,prefabricated ramps,,,,,,,,,,,,,
,livermore,california,livermore,3,3663 pacific ave livermore ca 94550,concrete,wormhoudt,A J Vasconi,2000,Dawn - Dusk,11000,,,,,,,,
,lodi,california,lodi,2,1331 s ham ln lodi ca 95242,prefabricated ramps,,,,,,,,,,,,,
vandenberg skatepark,lompoc,california,lompoc,,h st & e central ave lompoc ca 93436,concrete,california skateparks,california skateparks,,,7000,,,,,,,,
,lone pine,california,lone pine,,601 s main st lone pine ca 93545,concrete,hardcore skateparks,,,,,,,,,,,,
cherry park/bixby park,long beach,california,long beach,,cherry ave & e 2nd st long beach ca 90802,concrete,,california skateparks,,,,,,,,,,,
drake park skatepark,long beach,california,long beach2,1,951 maine ave long beach ca 90813,prefabricated ramps,,,,,,,,,,,,,
el dorado skatepark,long beach,california,long beach3,,2800 studebaker road long beach ca 90804,concrete,purkiss rose,california skateparks,2000,,12000,,This skatepark requires a helmet/pads,,,,,,
